,id,owner_name,owner_is_human,owner_result,is_army,is_building,is_worker,started_at,finished_at,died_at
JinairRogue63176705,63176705,JinairRogue,True,Loss,False,False,False,530,530,981
JinairRogue63176706,63176706,JinairRogue,True,Loss,False,False,False,1010,1010,1560
JinairRogue63176707,63176707,JinairRogue,True,Loss,False,True,False,1608,2088,NA
JinairRogue63438851,63438851,JinairRogue,True,Loss,False,False,False,19925,19925,20434
JinairRogue63438852,63438852,JinairRogue,True,Loss,True,False,False,20438,20438,21051
JinairRogue63700993,63700993,JinairRogue,True,Loss,False,False,True,672,672,2732
JinairRogue63700995,63700995,JinairRogue,True,Loss,False,False,False,24671,24671,25119
JinairRogue63700996,63700996,JinairRogue,True,Loss,True,False,False,25135,25135,25952
JinairRogue63700997,63700997,JinairRogue,True,Loss,True,False,False,25955,25955,26224
JinairRogue63700998,63700998,JinairRogue,True,Loss,False,False,False,26236,26236,26802
JinairRogue63700999,63700999,JinairRogue,True,Loss,True,False,False,26808,26808,27903
JinairRogue64487425,64487425,JinairRogue,True,Loss,False,False,True,978,978,NA
JinairRogue65011719,65011719,JinairRogue,True,Loss,True,False,False,21165,21165,22559
JinairRogue65011724,65011724,JinairRogue,True,Loss,False,False,False,23064,23064,23601
JinairRogue65011733,65011733,JinairRogue,True,Loss,True,False,False,25955,25955,26159
JinairRogue65011738,65011738,JinairRogue,True,Loss,True,False,False,26203,26203,27311
JinairRogue65011740,65011740,JinairRogue,True,Loss,True,False,False,27325,27325,27749
JinairRogue65273857,65273857,JinairRogue,True,Loss,False,True,False,1132,2732,NA
JinairRogue65536001,65536001,JinairRogue,True,Loss,False,False,False,1250,1250,1632
JinairRogue65798148,65798148,JinairRogue,True,Loss,False,False,False,24765,24765,25185
JinairRogue65798149,65798149,JinairRogue,True,Loss,True,False,False,25190,25190,25386
JinairRogue65798150,65798150,JinairRogue,True,Loss,False,False,False,25392,25392,25955
JinairRogue65798151,65798151,JinairRogue,True,Loss,True,False,False,25957,25957,26199
JinairRogue65798152,65798152,JinairRogue,True,Loss,True,False,False,26202,26202,27315
JinairRogue65798153,65798153,JinairRogue,True,Loss,True,False,False,27319,27319,27777
JinairRogue65798154,65798154,JinairRogue,True,Loss,False,False,False,27779,27779,28355
JinairRogue65798155,65798155,JinairRogue,True,Loss,True,False,False,28359,28359,NA
JinairRogue66322433,66322433,JinairRogue,True,Loss,False,False,True,1471,1471,NA
JinairRogue66584577,66584577,JinairRogue,True,Loss,False,False,True,1560,1560,2088
JinairRogue66584578,66584578,JinairRogue,True,Loss,False,False,True,2121,2121,NA
JinairRogue66846721,66846721,JinairRogue,True,Loss,False,False,True,1632,1632,2755
JinairRogue66846722,66846722,JinairRogue,True,Loss,True,False,False,2858,2858,26212
JinairRogue67108865,67108865,JinairRogue,True,Loss,False,True,False,1715,2755,NA
JinairRogue67371009,67371009,JinairRogue,True,Loss,False,False,False,1730,1730,2121
JinairRogue67371014,67371014,JinairRogue,True,Loss,False,True,False,15818,16085,NA
JinairRogue67895298,67895298,JinairRogue,True,Loss,False,True,False,24675,24951,NA
JinairRogue68157441,68157441,JinairRogue,True,Loss,False,False,False,1970,1970,2271
JinairRogue68419585,68419585,JinairRogue,True,Loss,False,False,True,2059,2059,NA
JinairRogue68681729,68681729,JinairRogue,True,Loss,False,False,True,2271,2271,6904
JinairRogue68681730,68681730,JinairRogue,True,Loss,True,False,False,6909,6909,19690
JinairRogue68681732,68681732,JinairRogue,True,Loss,False,False,False,19754,19754,20451
JinairRogue68681733,68681733,JinairRogue,True,Loss,True,False,False,20458,20458,22644
JinairRogue68681735,68681735,JinairRogue,True,Loss,True,False,False,22956,22956,24000
JinairRogue68681736,68681736,JinairRogue,True,Loss,False,False,True,24490,24490,NA
JinairRogue68943873,68943873,JinairRogue,True,Loss,False,False,False,2450,2450,2858
JinairRogue68943874,68943874,JinairRogue,True,Loss,False,False,False,2930,2930,3257
JinairRogue68943875,68943875,JinairRogue,True,Loss,False,False,True,3260,3260,23612
JinairRogue68943876,68943876,JinairRogue,True,Loss,False,False,False,23616,23616,24444
JinairRogue68943877,68943877,JinairRogue,True,Loss,False,False,True,24485,24485,NA
JinairRogue69468161,69468161,JinairRogue,True,Loss,False,False,True,2494,2494,10486
JinairRogue69468164,69468164,JinairRogue,True,Loss,True,False,False,10555,10555,10744
JinairRogue69730305,69730305,JinairRogue,True,Loss,False,False,False,2690,2690,3143
JinairRogue69730306,69730306,JinairRogue,True,Loss,True,False,False,3146,3146,10555
JinairRogue69730307,69730307,JinairRogue,True,Loss,False,False,False,10560,10560,11092
JinairRogue69730308,69730308,JinairRogue,True,Loss,True,False,False,11096,11096,14173
JinairRogue69730309,69730309,JinairRogue,True,Loss,True,False,False,14177,14177,15365
JinairRogue69730311,69730311,JinairRogue,True,Loss,True,False,False,15791,15791,16362
JinairRogue69730312,69730312,JinairRogue,True,Loss,True,False,False,16364,16364,16535
JinairRogue69730315,69730315,JinairRogue,True,Loss,True,False,False,17501,17501,17902
JinairRogue69730319,69730319,JinairRogue,True,Loss,True,False,False,18847,18847,22485
JinairRogue69730322,69730322,JinairRogue,True,Loss,False,False,False,23154,23154,23604
JinairRogue69730323,69730323,JinairRogue,True,Loss,False,False,True,23606,23606,25097
JinairRogue69730324,69730324,JinairRogue,True,Loss,True,False,False,25142,25142,26212
JinairRogue69730330,69730330,JinairRogue,True,Loss,True,False,False,26374,26374,27316
JinairRogue69730331,69730331,JinairRogue,True,Loss,True,False,False,27318,27318,27756
JinairRogue69992449,69992449,JinairRogue,True,Loss,False,False,False,2732,2732,3146
JinairRogue69992450,69992450,JinairRogue,True,Loss,False,False,False,3170,3170,3454
JinairRogue69992451,69992451,JinairRogue,True,Loss,False,False,True,3565,3565,8185
JinairRogue69992452,69992452,JinairRogue,True,Loss,True,False,False,8198,8198,NA
