,cutoff_time,num_buildings_built,num_buildings_destroyed,num_buildings_lost,num_soldiers_built,num_soldiers_destroyed,num_soldiers_lost,num_workers_built,num_workers_destroyed,num_workers_lost,result
204,39.0,16,0,0,0,0,0,12,0,0,0
205,39.0,21,0,0,1,0,0,12,0,0,1
206,493.0,16,1,0,0,0,0,13,0,0,0
207,493.0,22,0,1,1,0,0,13,0,0,1
208,10471.0,58,154,11,52,154,51,46,22,0,0
209,10471.0,218,11,154,195,51,154,78,0,22,1
210,1280.0,17,0,0,0,0,0,17,0,0,0
211,1280.0,18,0,0,0,0,0,16,0,0,1
212,2217.0,19,0,0,0,0,0,20,0,0,0
213,2217.0,19,0,0,0,0,0,19,0,0,1
214,12043.0,51,5,1,60,38,57,60,12,1,0
215,12043.0,60,1,5,65,57,38,70,1,12,1
216,3022.0,22,0,0,0,0,0,23,0,0,0
217,3022.0,19,0,0,1,0,0,21,0,0,1
218,5127.0,28,1,4,3,0,1,35,2,1,0
219,5127.0,26,4,1,8,1,0,32,1,2,1
220,15873.0,207,4,160,76,69,67,57,50,21,0
221,15873.0,59,160,4,101,67,69,88,21,50,1
222,1150.0,23,0,6,2,0,0,17,0,0,1
223,1150.0,17,6,0,0,0,0,16,0,0,0
224,4037.0,45,1,20,9,0,0,28,0,3,1
225,4037.0,26,20,1,3,0,0,26,3,0,0
226,15712.0,417,7,325,372,136,263,110,21,31,1
227,15712.0,72,325,7,144,263,136,85,31,21,0
228,1181.0,23,0,5,2,0,0,16,0,0,1
229,1181.0,17,5,0,0,0,0,16,0,0,0
230,3077.0,36,0,13,3,0,0,23,0,3,1
231,3077.0,20,13,0,1,0,0,21,3,0,0
232,16300.0,343,13,246,163,123,109,105,32,27,1
233,16300.0,65,246,13,132,109,123,67,27,32,0
234,1173.0,18,0,0,0,0,0,16,0,0,1
235,1173.0,17,0,0,0,0,0,16,0,0,0
236,2594.0,19,0,0,0,0,0,19,0,0,1
237,2594.0,19,0,0,0,0,0,21,0,0,0
238,12843.0,54,11,2,54,40,37,64,9,16,1
239,12843.0,68,2,11,42,37,40,82,16,9,0
240,6436.0,35,5,2,14,1,5,43,3,3,0
241,6436.0,37,2,5,4,5,1,46,3,3,1
242,6800.0,35,5,2,16,1,5,45,3,3,0
243,6800.0,39,2,5,6,5,1,48,3,3,1
244,20738.0,92,9,20,172,101,165,90,32,22,0
245,20738.0,74,20,9,128,165,101,103,22,32,1
246,2593.0,19,0,0,0,0,0,19,0,0,1
247,2593.0,19,0,0,0,0,0,21,0,0,0
248,7026.0,35,0,1,11,2,5,44,9,3,1
249,7026.0,30,1,0,9,5,2,49,3,9,0
250,16639.0,70,1,6,137,95,93,86,20,15,1
251,16639.0,57,6,1,115,93,95,81,15,20,0
252,628.0,16,0,0,0,0,0,14,0,0,0
253,628.0,25,0,0,0,0,0,14,0,0,1
254,3964.0,23,2,0,1,0,0,27,0,3,0
255,3964.0,35,0,2,2,0,0,25,3,0,1
256,13720.0,49,20,4,77,62,75,71,18,28,0
257,13720.0,79,4,20,92,75,62,80,28,18,1
258,989.0,17,0,0,0,0,0,15,0,0,0
259,989.0,25,0,0,0,0,0,15,0,0,1
260,4099.0,25,0,2,1,1,0,29,0,0,0
261,4099.0,32,2,0,1,0,1,26,0,0,1
262,15204.0,92,19,41,73,46,65,76,52,27,0
263,15204.0,87,41,19,99,65,46,86,27,52,1
264,677.0,16,0,0,0,0,0,14,0,0,1
265,677.0,16,0,0,0,0,0,14,0,0,0
266,5116.0,30,1,4,4,1,0,37,1,0,1
267,5116.0,26,4,1,8,0,1,33,0,1,0
268,16414.0,72,7,7,81,134,55,94,27,22,1
269,16414.0,74,7,7,139,55,134,88,22,27,0
270,1069.0,17,0,0,0,0,0,16,0,0,1
271,1069.0,17,0,0,0,0,0,15,0,0,0
272,11296.0,63,4,21,26,35,9,73,7,12,1
273,11296.0,54,21,4,60,9,35,67,12,7,0
274,17841.0,84,12,24,98,147,50,89,16,14,1
275,17841.0,77,24,12,153,50,147,87,14,16,0
276,815.0,16,3,0,0,0,0,14,0,0,1
277,815.0,22,0,3,2,0,0,14,0,0,0
278,2545.0,19,12,0,0,0,0,19,1,0,1
279,2545.0,30,0,12,2,0,0,23,0,1,0
280,16389.0,74,273,3,84,117,62,98,60,18,1
281,16389.0,358,3,273,157,62,117,139,18,60,0
282,4290.0,25,25,2,2,0,1,27,3,1,0
283,4290.0,50,2,25,10,1,0,32,1,3,1
284,8459.0,44,104,2,30,1,2,65,13,6,0
285,8459.0,174,2,104,47,2,1,90,6,13,1
286,20438.0,91,434,12,238,447,206,115,39,54,0
287,20438.0,554,12,434,502,206,447,121,54,39,1
288,491.0,16,2,0,0,0,0,13,0,0,1
289,491.0,20,0,2,1,0,0,14,0,0,0
290,619.0,16,2,0,0,0,0,14,0,0,1
291,619.0,21,0,2,1,0,0,14,0,0,0
292,8260.0,30,28,5,17,16,11,39,5,18,1
293,8260.0,56,5,28,20,11,16,20,18,5,0
294,714.0,16,3,0,0,0,0,14,0,0,0
295,714.0,21,0,3,2,0,0,14,0,0,1
296,4123.0,23,22,0,0,0,0,27,3,0,0
297,4123.0,44,0,22,7,0,0,31,0,3,1
298,14444.0,62,223,7,77,52,52,68,46,15,0
299,14444.0,345,7,223,106,52,52,125,15,46,1
300,232.0,16,0,0,0,0,0,12,0,0,0
301,232.0,19,0,0,1,0,0,12,0,0,1
302,2167.0,19,10,0,0,0,0,20,1,0,0
303,2167.0,28,0,10,2,0,0,21,0,1,1
304,4595.0,28,25,4,2,2,1,32,4,6,0
305,4595.0,54,4,25,28,1,2,23,6,4,1
306,672.0,16,0,0,0,0,0,14,0,0,1
307,672.0,16,0,0,0,0,0,14,0,0,0
308,1366.0,18,0,0,0,0,0,16,0,0,1
309,1366.0,18,0,0,0,0,0,16,0,0,0
310,4131.0,24,0,2,3,0,0,24,0,1,1
311,4131.0,22,2,0,3,0,0,24,1,0,0
312,3503.0,24,0,1,1,0,0,23,0,0,1
313,3503.0,23,1,0,3,0,0,21,0,0,0
314,6787.0,33,3,2,13,0,1,36,5,2,1
315,6787.0,32,2,3,8,1,0,34,2,5,0
316,15237.0,58,17,3,100,38,63,84,32,16,1
317,15237.0,61,3,17,47,63,38,94,16,32,0
318,4133.0,24,0,2,3,1,2,24,0,1,1
319,4133.0,22,2,0,3,2,1,25,1,0,0
320,10167.0,47,2,2,42,6,8,71,8,6,1
321,10167.0,49,2,2,40,8,6,69,6,8,0
322,20349.0,58,28,4,213,150,147,83,57,33,1
323,20349.0,78,4,28,200,147,150,113,33,57,0
324,540.0,16,0,0,0,0,0,13,0,0,0
325,540.0,16,0,0,0,0,0,13,0,0,1
326,781.0,16,0,0,0,0,0,14,0,0,0
327,781.0,16,0,0,0,0,0,14,0,0,1
328,7161.0,33,2,3,12,2,7,41,4,3,0
329,7161.0,33,3,2,10,7,2,41,3,4,1
330,1184.0,17,0,0,0,0,0,16,0,0,0
331,1184.0,17,0,0,0,0,0,17,0,0,1
332,4610.0,25,7,0,4,1,0,24,1,2,0
333,4610.0,31,0,7,4,0,1,27,2,1,1
334,14679.0,58,9,7,91,51,87,68,5,3,0
335,14679.0,60,7,9,72,87,51,67,3,5,1
336,2629.0,20,0,0,0,0,0,23,0,0,0
337,2629.0,22,0,0,0,0,0,22,0,0,1
338,2700.0,22,0,0,0,0,0,23,0,0,0
339,2700.0,22,0,0,0,0,0,23,0,0,1
340,11105.0,40,5,8,20,16,15,56,20,34,0
341,11105.0,40,8,5,27,15,16,42,34,20,1
342,5.0,16,0,0,0,0,0,12,0,0,0
343,5.0,19,0,0,1,0,0,12,0,0,1
344,1497.0,17,6,0,0,0,0,17,0,0,0
345,1497.0,25,0,6,2,0,0,17,0,0,1
346,7382.0,33,53,5,7,38,6,35,5,12,0
347,7382.0,78,5,53,58,6,38,35,12,5,1
348,165.0,16,0,0,0,0,0,12,0,0,1
349,165.0,19,0,0,1,0,0,12,0,0,0
350,1433.0,18,6,0,0,0,0,17,0,0,1
351,1433.0,24,0,6,2,0,0,17,0,0,0
352,10129.0,63,140,20,31,28,7,64,22,0,1
353,10129.0,189,20,140,72,7,28,92,0,22,0
354,912.0,17,3,0,0,0,0,15,0,0,1
355,912.0,22,0,3,2,0,0,14,0,0,0
356,4437.0,29,21,4,5,5,2,23,5,0,1
357,4437.0,50,4,21,19,2,5,24,0,5,0
358,9186.0,48,73,10,26,100,12,45,6,0,1
359,9186.0,112,10,73,119,12,100,28,0,6,0
